ID,name,country code,country_region,location,address,latitude,longitude,web
42,Galvapno,UA,Ukraine Ivano Frankivsk region,Halych,Vul. Dmytra Vitovsʹkoho 32,49.1346607,24.7325414,galvapno.com.ua
43,Novotroitske Rudouptavlinnya PrAT,UA,Ukraine Donetsk region,Novotroitske,Kyivska str 85,47.7246245,37.5673467,https://www.ntru.com.ua/
44,CARMEUSE SLOVAKIA s.r.o.,SK,Slovakia Kosice Region,Trebejov,Trebejov 53,48.8326204,21.1578084,https://www.carmeuse.com/sk-sk
45,CARMEUSE SLOVAKIA s.r.o.,SK,Slovakia Kosice Region,Kosice,Vstupný areál U.S.Steel,48.6046168,21.1304614,https://www.carmeuse.com/sk-sk
46,CARMEUSE SLOVAKIA s.r.o.,SK,Slovakia Kosice Region,Slavec,Slavec,48.5799777,20.3899993,https://www.carmeuse.com/sk-sk
47,WKG Sp. z o.o.,PL,Poland. Lodz Voivodeship,Raciszyn,Działoszyńska 69,51.0979756,18.8519453,https://www.wkg.pl/
48,Trzuskawica S.A.,PL,Poland. Świętokrzyskie Voivodeship,Sitkówka,Sitkówka 24,50.8052163,20.5588997,https://www.trzuskawica.pl/
49,Omya Sp. z.o.o.,PL,Poland. Masovian Voivodeship,Kornica,Stara Kornica 206,52.1945871,22.9560503,https://www.omya.com
50,Omya Sp. z.o.o.,PL,Poland. Lower Silesian Voivodeship,Oldrzychowice Klodzkie,Romanowo Plant ul. Bystrzycka 21,50.3470683,16.7377943,https://www.omya.com
51,Werbe- u. Marketing GmbH Bayerische Düngekalk,DE,Germany. Bavaria,Wörth an der Donau,Im Gewerbepark A 8,48.9922603,12.1285861,http://www.bdg-wm.de/
52,Schotterwerk Johannes MAYER,DE,Germany. Baden Wurtemberg,Mötzingen,Nagolder Str. 50,48.6944785,8.0176325,http://www.schotterwerk-mayer.de/
53,Clogrennane Lime Ltd,IE,Ireland. Lenster,Fonthill. Clogrennane. Co. Carlow,Clogrennane,52.7938747,-6.9827537,http://www.clogrennane.ie/
